127.0.0.1 - - [12/Oct/2024:14:26:41 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:49 +0700] "GET /DiamonShop/assets/user/img/slide/carousel3.png;jsessionid=4E1CAC01CFB6F6F30D28DCCB2BC3F86C HTTP/1.1" 200 65666
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:49 +0700] "GET /DiamonShop/assets/user/img/1.png;jsessionid=4E1CAC01CFB6F6F30D28DCCB2BC3F86C HTTP/1.1" 200 6623
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:49 +0700] "GET /DiamonShop/assets/user/img/visa.png;jsessionid=4E1CAC01CFB6F6F30D28DCCB2BC3F86C HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:30:49 +0700] "GET /DiamonShop/assets/user/ico/favicon.ico;jsessionid=4E1CAC01CFB6F6F30D28DCCB2BC3F86C HTTP/1.1" 200 3154
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:31:08 +0700] "GET /DiamonShop/ HTTP/1.1" 200 20957
0:0:0:0:0:0:0:1 - - [12/Oct/2024:14:31:17 +0700] "GET /DiamonShop/ HTTP/1.1" 200 20957
0:0:0:0:0:0:0:1 - - [12/Oct/2024:15:47:40 +0700] "GET /DiamonShop/ HTTP/1.1" 200 20957
0:0:0:0:0:0:0:1 - - [12/Oct/2024:15:47:40 +0700] "GET /DiamonShop/assets/user/assets/img/new.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:15:47:40 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:15:48:36 +0700] "GET /DiamonShop/ HTTP/1.1" 200 20978
0:0:0:0:0:0:0:1 - - [12/Oct/2024:15:49:00 +0700] "GET /DiamonShop/ HTTP/1.1" 200 20978
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:22:42 +0700] "GET /DiamonShop/ HTTP/1.1" 200 20962
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:22:42 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:22:42 +0700] "GET /DiamonShop/assets/user/assets/img/new.png HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:22:45 +0700] "GET /DiamonShop/ HTTP/1.1" 200 20962
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:23:15 +0700] "GET /DiamonShop/ HTTP/1.1" 200 18522
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:23:48 +0700] "GET /DiamonShop/ HTTP/1.1" 200 17098
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:29:15 +0700] "GET /DiamonShop/ HTTP/1.1" 500 6167
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:29:16 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:31:02 +0700] "GET /DiamonShop/ HTTP/1.1" 500 6169
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:31:41 +0700] "GET /DiamonShop/ HTTP/1.1" 200 17099
0:0:0:0:0:0:0:1 - - [12/Oct/2024:16:31:41 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 967
